listing_date,season,address,list_price,original_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,sqft,lot_size,latitude,longitude,neighborhood,region
2025-05-27,Spring,,581422,581422,581422,RD,4,2,93,2026.0,double_attachedached,1704.0,,0.0,0.0,Prairie Pointe,Prairie Pointe
2025-05-27,Spring,,639000,639000,639000,RD,3,3,7,2013.0,double_attachedached,1578.0,,0.0,0.0,Bridgwater Forest,Bridgwater Forest
2025-05-27,Spring,"143 Lake Bend Road , Winnipeg R3Y 1N3",859900,859900,859900,RD,4,4,8,2014.0,double_attachedached,2858.0,6318.0,0.0,0.0,Bridgwater Lakes,Bridgwater Lakes
2025-05-27,Spring,"305 Park West Drive , Winnipeg R3Y 0V9",455000,455000,455000,TH,3,3,29,2017.0,none,1462.0,,0.0,0.0,Bridgwater Centre,Bridgwater Centre
2025-05-27,Spring,"589 Bridge Lake Drive , Winnipeg R3Y 0W8",739900,739900,739900,RD,4,3,3,2017.0,double_attachedached,2446.0,,0.0,0.0,Bridgwater Trails,Bridgwater Trails
2025-05-27,Spring,,549900,549900,549900,RD,3,3,14,1999.0,double_attachedached,1164.0,4044.0,0.0,0.0,Richmond West,Richmond West
2025-05-27,Spring,,499900,499900,499900,RD,3,2,7,,triple_detachedached,1220.0,,0.0,0.0,Headingley South,Headingley South
2025-05-27,Spring,"552 Cherrier Street , Winnipeg R2J 0M4",219900,219900,219900,RD,2,1,8,1910.0,none,640.0,3399.0,0.0,0.0,St Boniface,St Boniface
2025-05-27,Spring,"394 St Jean Baptiste Street , Winnipeg R2H 2X4",449900,449900,449900,RD,3,2,8,1945.0,double_detachedached,1626.0,4990.0,0.0,0.0,St Boniface,St Boniface
2025-05-27,Spring,"544 De La Morenie Street , Winnipeg R2H 2Z5",364900,364900,364900,RD,3,4,32,1913.0,double_detachedached,1638.0,5901.0,0.0,0.0,St Boniface,St Boniface
2025-05-27,Spring,"366 Dubuc Street , Winnipeg R2H 1G1",399900,399900,399900,RD,3,1,8,1947.0,single_detachedached,1216.0,5402.0,0.0,0.0,Norwood,Norwood
2025-05-27,Spring,,424900,424900,424900,RD,3,2,7,1960.0,single_detachedached,1268.0,,0.0,0.0,Pulberry,Pulberry
2025-05-27,Spring,,473900,473900,473900,RD,2,2,13,1927.0,double_detachedached,1270.0,11150.0,0.0,0.0,Pulberry,Pulberry
2025-05-27,Spring,,475000,475000,475000,RD,3,3,4,1975.0,double_detachedached,1120.0,9581.0,0.0,0.0,Bright Oaks,Bright Oaks
2025-05-27,Spring,"378 Beliveau Road , Winnipeg R2M 1T4",299900,299900,299900,SA,2,2,8,1975.0,none,720.0,,0.0,0.0,St Vital,St Vital
2025-05-27,Spring,,269900,269900,269900,RD,2,1,7,1941.0,double_detachedached,898.0,11339.0,0.0,0.0,St Vital,St Vital
2025-05-27,Spring,,239900,239900,239900,RD,2,1,7,1945.0,double_detachedached,840.0,5850.0,0.0,0.0,St Vital,St Vital
2025-05-27,Spring,"113 Vivian Avenue , Winnipeg R2M 0E6",349900,349900,349900,RD,2,2,2,2003.0,single_detachedached,930.0,2550.0,0.0,0.0,St Vital,St Vital
2025-05-27,Spring,"368 Beliveau Road , Winnipeg R2M 1T4",364900,364900,364900,RD,0,0,35,1950.0,double_detachedached,800.0,8000.0,0.0,0.0,St Vital,St Vital
2025-05-27,Spring,"179 Imperial Avenue , Winnipeg R2M 0K9",369900,369900,369900,RD,3,2,7,1963.0,none,1050.0,4079.0,0.0,0.0,St Vital,St Vital
2025-05-27,Spring,"518 Novavista Drive , Winnipeg R2N 2L5",399900,399900,399900,RD,2,2,8,1988.0,single_detachedached,906.0,3455.0,0.0,0.0,Meadowood,Meadowood
2025-05-27,Spring,"444 Novavista Drive , Winnipeg R2N 3V9",339900,339900,339900,RD,3,2,6,1990.0,none,904.0,,0.0,0.0,Meadowood,Meadowood
2025-05-27,Spring,"816 Aldgate Road , Winnipeg R2N 4P3",519900,519900,519900,RD,3,2,9,2005.0,double_attachedached,1297.0,,0.0,0.0,River Park South,River Park South
2025-05-27,Spring,,529900,529900,529900,RD,3,2,8,2013.0,double_attachedached,1432.0,5787.0,0.0,0.0,River Park South,River Park South
2025-05-27,Spring,,249900,249900,249900,MH,3,2,3,1997.0,single_detachedached,1216.0,,0.0,0.0,South Glen,South Glen
2025-05-27,Spring,"820 Aldgate Road , Winnipeg R2N 4P3",488900,488900,488900,RD,3,3,8,2005.0,double_attachedached,1560.0,,0.0,0.0,River Park South,River Park South
2025-05-27,Spring,,525000,525000,525000,RD,3,3,18,2000.0,double_attachedached,1259.0,,0.0,0.0,River Park South,River Park South
2025-05-27,Spring,"139 Nutley Circle , Winnipeg R2N 1S2",474900,474900,474900,RD,3,3,6,1983.0,single_attachedached,1320.0,4400.0,0.0,0.0,River Park South,River Park South
2025-05-27,Spring,,559900,559900,559900,RD,3,3,9,2014.0,double_attachedached,1352.0,,0.0,0.0,River Park South,River Park South
