MLS_ID,address,list_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,Liv Area sqft,latitude,longitude,neighborhood,sqft,listing_date,season,region,original_price,lot_size
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,2.0,7,2019,Double Attached,1263,Charleswood,nan,nan,1263.0,2025-06-11,Summer,nan,549900,0
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,3.0,42,2017,"Double Attached, Front Drive Access, Garage door opener, Plug-In, Paved Driveway",1649,Charleswood,nan,nan,1649.0,2025-06-11,Summer,nan,679900,0
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,2.0,6,1963,Single Detached,1382,West Fort Garry,nan,nan,1382.0,2025-06-11,Summer,nan,299900,0
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,1.0,8,1960,"Single Detached, Garage door opener, Heated, Insulated",948,West Fort Garry,nan,nan,948.0,2025-06-11,Summer,nan,379000,0
202509586,"71 Loyola Bay , Winnipeg R3P 0T3",374900,410000,RD,4,2.0,8,1968,Oversized,1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,374900,0
202507896,"43 Macalester Bay , Winnipeg R3T 2X6",456000,427140,RD,3,2.0,39,1965,"Single Attached, Breezeway",1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,456000,0
202510809,"71 Bryn Mawr Road , Winnipeg R3T 3K3",499000,486500,RD,3,2.0,13,1972,Single Detached,1068,Fort Richmond,nan,nan,1068.0,2025-06-11,Summer,nan,499000,0
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,2.0,7,2019,Double Attached,1263,Charleswood,nan,nan,1263.0,2025-06-11,Summer,nan,549900,0
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,3.0,42,2017,"Double Attached, Front Drive Access, Garage door opener, Plug-In, Paved Driveway",1649,Charleswood,nan,nan,1649.0,2025-06-11,Summer,nan,679900,0
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,2.0,6,1963,Single Detached,1382,West Fort Garry,nan,nan,1382.0,2025-06-11,Summer,nan,299900,0
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,1.0,8,1960,"Single Detached, Garage door opener, Heated, Insulated",948,West Fort Garry,nan,nan,948.0,2025-06-11,Summer,nan,379000,0
202509586,"71 Loyola Bay , Winnipeg R3P 0T3",374900,410000,RD,4,2.0,8,1968,Oversized,1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,374900,0
202507896,"43 Macalester Bay , Winnipeg R3T 2X6",456000,427140,RD,3,2.0,39,1965,"Single Attached, Breezeway",1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,456000,0
202510809,"71 Bryn Mawr Road , Winnipeg R3T 3K3",499000,486500,RD,3,2.0,13,1972,Single Detached,1068,Fort Richmond,nan,nan,1068.0,2025-06-11,Summer,nan,499000,0
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,2.0,7,2019,Double Attached,1263,Charleswood,nan,nan,1263.0,2025-06-11,Summer,nan,549900,0
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,3.0,42,2017,"Double Attached, Front Drive Access, Garage door opener, Plug-In, Paved Driveway",1649,Charleswood,nan,nan,1649.0,2025-06-11,Summer,nan,679900,0
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,2.0,6,1963,Single Detached,1382,West Fort Garry,nan,nan,1382.0,2025-06-11,Summer,nan,299900,0
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,1.0,8,1960,"Single Detached, Garage door opener, Heated, Insulated",948,West Fort Garry,nan,nan,948.0,2025-06-11,Summer,nan,379000,0
202512899,"51 Prestwood Place , Winnipeg R3T 4Y9",469900,469900,RD,3,2.0,10,1981,"Single Attached, Front Drive Access",1844,Fort Richmond,nan,nan,1844.0,2025-06-11,Summer,nan,469900,0
202509800,"62 Lakeglen Drive , Winnipeg R3T 4N5",524900,525000,RD,3,3.0,12,1977,Double Attached,1314,Waverley Heights,nan,nan,1314.0,2025-06-11,Summer,nan,524900,0
202510910,"54 Cadiz Bay , Winnipeg R3R 2M7",499900,460000,RD,3,1.0,10,1976,"Single Attached, Front Drive Access, Paved Driveway",1380,Charleswood,nan,nan,1380.0,2025-06-11,Summer,nan,499900,0
202512945,"634 Fairmont Road , Winnipeg R3R 1B1",949900,940000,RD,4,4.0,7,2007,"Triple Attached, Front Drive Access, Garage door opener, Oversized, Paved Driveway",2275,Charleswood,nan,nan,2275.0,2025-06-11,Summer,nan,949900,0
202512975,"607 Dieppe Road , Winnipeg R3R 1C5",419900,550000,RD,3,2.0,7,1967,Double Attached,1539,Charleswood,nan,nan,1539.0,2025-06-11,Summer,nan,419900,0
202511045,"134 Robindale Road , Winnipeg R3R 1G7",399900,387500,RD,2,2.0,9,1949,Double Attached,796,Charleswood,nan,nan,796.0,2025-06-11,Summer,nan,399900,0
202511252,"82 Bergman Crescent , Winnipeg R3R 1Z7",299900,351500,SA,3,1.0,12,1973,Carport,948,Charleswood,nan,nan,948.0,2025-06-11,Summer,nan,299900,0
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,2.0,7,2019,Double Attached,1263,Charleswood,nan,nan,1263.0,2025-06-11,Summer,nan,549900,0
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,3.0,42,2017,"Double Attached, Front Drive Access, Garage door opener, Plug-In, Paved Driveway",1649,Charleswood,nan,nan,1649.0,2025-06-11,Summer,nan,679900,0
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,2.0,6,1963,Single Detached,1382,West Fort Garry,nan,nan,1382.0,2025-06-11,Summer,nan,299900,0
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,1.0,8,1960,"Single Detached, Garage door opener, Heated, Insulated",948,West Fort Garry,nan,nan,948.0,2025-06-11,Summer,nan,379000,0
