listing_date,season,address,list_price,original_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,sqft,lot_size,latitude,longitude,neighborhood,region
2025-06-11,Summer,"Sold
202505203
1B/Crescentwood
803 DUDLEY Avenue
Winnipeg
 / 1914
Single Family Detached
Year-round
One and Three Quarters
1260 SF
0.00 M2/0 SF
BDA: 3 TBD: 3
FB: 2 HB: 0 EN: N
Full",,,,,3,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202504513
1B/Crescentwood
724 Mulvey Avenue
Winnipeg
OL / 1910
Single Family Detached
Year-round
Two Storey
1128 SF
0.00 M2/0 SF
BDA: 3 TBD: 3
FB: 1 HB: 1 EN: N
Full
Wood Frame
Vinyl",,,,,3,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202501690
1B/Crescentwood
731 Scotland Avenue
Winnipeg
 / 1911
Single Family Detached
Year-round
Bungalow
653 SF",,,,,1,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202503279
1B/Crescentwood
604 Warsaw Avenue
Winnipeg
OL / 1905
Single Family Detached
Year-round
One and a Half
920 SF
0.00 M2/0 SF
BDA: 3 TBD: 3
FB: 1 HB: 1 EN: N
Full
Wood Frame
Stucco",,,,,3,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202501961
1B/Crescentwood
763 Hector Avenue
Winnipeg
OL / 2018
Single Family Detached
Year-round
Bi-Level
890 SF
0.00 M2/0 SF
BDA: 2 TBD: 4
FB: 2 HB: 0 EN: N
Full
Wood Frame
Composite, Stucco",,,,,2,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202427955
1B/Crescentwood
1131 Corydon Avenue
Winnipeg
OL / 1945
Single Family Detached
Year-round
Two Storey
1248 SF
0.00 M2/0 SF
BDA: 3 TBD: 3
FB: 1 HB: 0 EN: N
Full",,,,,3,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"Sold
202511379
1Bw/Crescentwood
1024 Fleet Avenue
Winnipeg
OL / 1945
Single Family Detached
Year-round
One and a Half
950 SF
0.00 M2/0 SF
BDA: 2 TBD: 2
FB: 1 HB: 1 EN: N
Full",,,,,2,1.0,,,none,,,0.0,0.0,none,none
2025-06-11,Summer,"405 Churchill Drive , Winnipeg R3L 1W2
Area:
1A
MLS® #:
202513202
Nghbrhd:
Fort Rouge
Schl Div:
Winnipeg (WPG 1)
Linc #:
012R000136000
Gross Tax: $6,177.30
Type:
RD
Liv Area:
136.75 M2/1,472 SF
Tax Yr:
2024
Status:
Sold
Use:
Year-round
Fin Bsmnt: .00 M2/ SF
Ed Tax:
List Price:
$524,900
Style:
BNG
Lot Front:
15.24 M/50 F
Imprv:
$347.50
Sell Price:
$601,405
Yr Built/Age:
1954/Older
Lot Dpth:
51.21 M/168 F
Spc Lvy:
Sell Date:
06/04/2025
New Const:
No
Lot Area:
779.18 M2/8,387 SF
Payout:
DOM:
9
RMA:
6
BDA: 2
TBD: 2
Baths: F2/H0
Legal:
Add Lgl:",524900,,524900.0,RD,2,2.0,9,1954.0,double_detached,1472.0,8387.0,0.0,0.0,Fort Rouge,Fort Rouge
2025-06-11,Summer,"853 Nassau Street S, Winnipeg R3L 2N1
Area:
1Aw
MLS® #:
202513082
Nghbrhd:
Fort Rouge
Schl Div:
Linc #:
012R002423000
Gross Tax: $2,029.77
Type:
RD
Liv Area:
74.32 M2/800 SF
Tax Yr:
2024
Status:
Sold
Use:
Year-round
Fin Bsmnt: .00 M2/ SF
Ed Tax:
$950.44
List Price:
$224,900
Style:
BNG
Lot Front:
7.62 M/25 F
Imprv:
$173.75
Sell Price:
$232,500
Yr Built/Age:
1909/Older
Lot Dpth:
30.48 M/100 F
Spc Lvy:
Sell Date:
06/09/2025
New Const:
No
Lot Area:
233.09 M2/2,509 SF
Payout:
DOM:
12
RMA:
5
BDA: 2
TBD: 2
Baths: F1/H0
Legal:
Add Lgl:",224900,,224900.0,RD,2,1.0,12,1909.0,none,800.0,2509.0,0.0,0.0,Fort Rouge,Fort Rouge
2025-06-11,Summer,"324 Morley Avenue , Winnipeg R3L 0Y5
Area:
1Aw
MLS® #:
202511521
Nghbrhd:
Fort Rouge
Schl Div:
Winnipeg (WPG 1)
Linc #:
102R012405000
Gross Tax: $1,922.69
Type:
RD
Liv Area:
111.67 M2/1,202 SF
Tax Yr:
2024
Status:
Sold
Use:
Year-round
Fin Bsmnt: .00 M2/ SF
Ed Tax:
List Price:
$299,900
Style:
1+1/2
Lot Front:
7.62 M/25 F
Imprv:
Sell Price:
$292,500
Yr Built/Age:
1913/
Lot Dpth:
30.48 M/100 F
Spc Lvy:
Sell Date:
06/02/2025
New Const:
No
Lot Area:
233.09 M2/2,509 SF
Payout:
DOM:
12
RMA:
7
BDA: 3
TBD: 3
Baths: F1/H1
Legal:
Add Lgl:",299900,,299900.0,RD,3,1.5,12,1913.0,none,1202.0,2509.0,0.0,0.0,Fort Rouge,Fort Rouge
2025-06-11,Summer,"515 Wardlaw Avenue , Winnipeg R3L 0L9
Area:
1B
MLS® #:
202513491
Nghbrhd:
Osborne Village
Schl Div:
Winnipeg (WPG 1)
Linc #:
012R021694000
Gross Tax: $4,810.91
Type:
RD
Liv Area:
187.48 M2/2,018 SF
Tax Yr:
24
Status:
Sold
Use:
Year-round
Fin Bsmnt: .00 M2/ SF
Ed Tax:
$2,235.97
List Price:
$599,990
Style:
2+1/2
Lot Front:
15.24 M/50 F
Imprv:
$444.50
Sell Price:
$600,000
Yr Built/Age:
1905/Older
Lot Dpth:
36.27 M/119 F
Spc Lvy:
Sell Date:
06/09/2025
New Const:
No
Lot Area:
Payout:
DOM:
0
RMA:
10
BDA: 4
TBD: 4
Baths: F2/H0
Legal:
Add Lgl:
LBP 5 19 208 31/5 ST B",599990,,599990.0,RD,4,2.0,0,1905.0,single_detached,2018.0,5950.0,0.0,0.0,Osborne Village,Osborne Village
2025-06-11,Summer,"724 Ebby Avenue , Winnipeg R3M 2H6
Area:
1B
MLS® #:
202509071
Nghbrhd:
Crescentwood
Schl Div:
Linc #:
012R012664000
Gross Tax: $2,627.75
Type:
RD
Liv Area:
65.03 M2/700 SF
Tax Yr:
24
Status:
Sold
Use:
Year-round
Fin Bsmnt: .00 M2/ SF
Ed Tax:
$1,212.42
List Price:
$249,900
Style:
BNG
Lot Front:
11.28 M/37 F
Imprv:
$260.13
Sell Price:
$239,900
Yr Built/Age:
1947/
Lot Dpth:
30.48 M/100 F
Spc Lvy:
Sell Date:
06/02/2025
New Const:
No
Lot Area:
Payout:
DOM:
32
RMA:
5
BDA: 2
TBD: 2
Baths: F1/H0
Legal:
Add Lgl:",249900,,249900.0,RD,2,1.0,32,1947.0,single_detached,700.0,3701.0,0.0,0.0,Crescentwood,Crescentwood
2025-06-11,Summer,"866 Garwood Avenue , Winnipeg R3M 1N5
Area:
1B
MLS® #:
202510991
Nghbrhd:
Crescentwood
Schl Div:
Winnipeg (WPG 1)
Linc #:
012R020826000
Gross Tax: $3,409.88
Type:
RD
Liv Area:
66.15 M2/712 SF
Tax Yr:
2025
Status:
Sold
Use:
Year-round
Fin Bsmnt: .00 M2/ SF
Ed Tax:
$1,657.17
List Price:
$309,900
Style:
BNG
Lot Front:
7.62 M/25 F
Imprv:
$173.75
Sell Price:
$337,000
Yr Built/Age:
1930/Older
Lot Dpth:
30.78 M/101 F
Spc Lvy:
Sell Date:
06/03/2025
New Const:
No
Lot Area:
235.14 M2/2,531 SF
Payout:
DOM:
7
RMA:
6
BDA: 2
TBD: 2
Baths: F1/H1
Legal:
Add Lgl:",309900,,309900.0,RD,2,1.5,7,1930.0,single_detached,712.0,2531.0,0.0,0.0,Crescentwood,Crescentwood
2025-06-11,Summer,"1229 Corydon Avenue , Winnipeg R3M 0X6
Area:
1Bw
MLS® #:
202513121
Nghbrhd:
Crescentwood
Schl Div:
Winnipeg (WPG 1)
Linc #:
012R031543000
Gross Tax: $4,189.90
Type:
RD
Liv Area:
112.41 M2/1,210 SF
Tax Yr:
2024
Status:
Sold
Use:
Year-round
Fin Bsmnt:
Ed Tax:
$1,973.99
List Price:
$349,900
Style:
1+1/2
Lot Front:
14.63 M/48 F
Imprv:
$334.99
Sell Price:
$400,000
Yr Built/Age:
1950/Older
Lot Dpth:
34.44 M/113 F
Spc Lvy:
Sell Date:
06/02/2025
New Const:
No
Lot Area:
Payout:
DOM:
6
RMA:
6
BDA: 4
TBD: 4
Baths: F1/H1
Legal:
Add Lgl:",349900,,349900.0,RD,4,1.5,6,1950.0,none,1210.0,5423.0,0.0,0.0,Crescentwood,Crescentwood
2025-06-11,Summer,"341 Oxford Street , Winnipeg R3M 3H9
Area:
1C
MLS® #:
202513433
Nghbrhd:
River Heights North
Schl Div:
Winnipeg (WPG 1)
Linc #:
012R041451000
Gross Tax: $7,618.79
Type:
RD
Liv Area:
232.26 M2/2,500 SF
Tax Yr:
24
Status:
Sold
Use:
Year-round
Fin Bsmnt: 92.90 M2/1,000 SF
Ed Tax:
$3,759.10
List Price:
$1,149,900
Style:
2+1/2
Lot Front:
12.19 M/40 F
Imprv:
$278.00
Sell Price:
$1,270,000
Yr Built/Age:
1929/Older
Lot Dpth:
36.58 M/120 F
Spc Lvy:
Sell Date:
06/04/2025
New Const:
No
Lot Area:
Payout:
DOM:
7
RMA:
9
BDA: 4
TBD: 4
Baths: F3/H1
Legal:
Add Lgl:",1149900,,1149900.0,RD,4,3.5,7,1929.0,double_detached,2500.0,4800.0,0.0,0.0,River Heights North,Central
